STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,DAPR,EVAP,MDPR,PGTM,PRCP,RAIN,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT10,WT11
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,4/19/2018,10.51,,,,,0,0,0,0,71,77,56,,30,20,,,21.9,28,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,4/20/2018,10.51,,,,,0,0,0,0,61,67,52,,80,80,,,17,21.9,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,4/21/2018,11.86,,,,,1.12,1,0,0,65,74,59,,140,140,,,21.9,25.9,1,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,4/22/2018,9.62,,,,,0,0,0,0,67,73,58,,310,310,,,21,27.1,1,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,4/23/2018,6.26,,,,,0,0,0,0,65,80,51,,320,330,,,17,23.9,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,4/24/2018,3.36,,,,,0,0,0,0,70,85,54,,330,320,,,12.1,17,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,4/25/2018,5.82,,,,,0,0,0,0,74,86,60,,340,330,,,23.9,29.1,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,4/26/2018,8.5,,,,,0,0,0,0,67,77,54,,340,340,,,19.9,23.9,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,4/27/2018,4.92,,,,,0,0,0,0,67,80,53,,360,10,,,16.1,19.9,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,4/28/2018,3.58,,,,,0,0,0,0,69,84,56,,140,140,,,15,19,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,4/29/2018,7.16,,,,,0,0,0,0,72,83,58,,150,130,,,23,28,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,4/30/2018,11.18,,,,,0,0,0,0,69,81,56,,140,140,,,23.9,29.1,1,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,5/1/2018,13.87,,,,,0,0,0,0,74,81,70,,130,130,,,23,29.1,1,,,,,,1,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,5/2/2018,14.76,,,,,0,0,0,0,78,87,74,,140,150,,,25.1,33.1,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,5/3/2018,14.32,,,,,0,0,0,0,79,86,75,,140,150,,,21.9,29.1,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,5/4/2018,7.83,,,,,0.8,1,0,0,77,82,67,,340,10,,,21,23.9,1,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,5/5/2018,5.82,,,,,0.63,1,0,0,72,84,65,,360,30,,,15,23,1,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,5/6/2018,3.58,,,,,0,0,0,0,75,87,64,,10,330,,,15,19.9,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,5/7/2018,4.47,,,,,0,0,0,0,76,91,64,,170,160,,,13,16.1,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,5/8/2018,5.59,,,,,0,0,0,0,79,91,65,,190,180,,,10.1,18.1,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,5/9/2018,7.16,,,,,0,0,0,0,78,90,63,,160,150,,,19.9,23,1,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,5/10/2018,8.5,,,,,0,0,0,0,77,89,63,,160,140,,,21.9,27.1,1,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,5/11/2018,10.96,,,,,0,0,0,0,79,89,71,,140,150,,,23,31.1,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,5/12/2018,11.18,,,,,0,0,0,0,80,90,74,,140,140,,,23,25.9,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,5/13/2018,8.28,,,,,0,0,0,0,80,91,70,,120,130,,,19.9,28,1,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,5/14/2018,6.93,,,,,0,0,0,0,80,93,69,,140,130,,,19.9,25.1,1,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,5/15/2018,4.47,,,,,0,0,0,0,80,94,65,,150,170,,,14.1,16.1,1,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,5/16/2018,5.14,,,,,0,0,0,0,82,94,66,,240,230,,,13,19.9,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,5/17/2018,5.14,,,,,0,0,0,0,84,96,73,,270,250,,,13,17,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,5/18/2018,8.95,,,,,0,0,0,0,84,94,74,,160,160,,,16.1,21.9,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,5/19/2018,12.97,,,,,0,0,0,0,83,93,76,,140,150,,,23,29.1,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,5/20/2018,8.05,,,,,1.06,1,0,0,79,87,68,,330,330,,,25.9,32,1,,1,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,5/21/2018,5.59,,,,,0.39,1,0,0,74,85,68,,170,170,,,19.9,27.1,1,,1,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,5/22/2018,3.58,,,,,0.16,1,0,0,76,90,70,,290,290,,,16.1,23.9,1,,1,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,5/23/2018,4.92,,,,,0.17,1,0,0,76,84,69,,140,140,,,19.9,21.9,1,,1,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,5/24/2018,6.26,,,,,0,0,0,0,78,91,70,,130,130,,,21.9,25.1,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,5/25/2018,3.8,,,,,0.03,1,0,0,80,91,71,,160,170,,,15,19,1,,,,,,,,
